,Name,F1,Precision,Recall,,,,,
0,Blank,0,0,0,0,,,,
0,['LeakyReLU'],0.417074662,0.405599575,0.493117806,0,15,10,2,
0,"['LeakyReLU', 'LeakyReLU']",0.236972759,0.244576726,0.304971834,0,15,10,2,
0,['Sigmoid'],0.11734354,0.074708433,0.273328435,0,15,10,2,
0,"['Sigmoid', 'Sigmoid']",0.11734354,0.074708433,0.273328435,0,15,10,2,
0,['Cos'],0.117352579,0.074715763,0.273328435,0,15,10,2,
0,"['Cos', 'Cos']",0.117809151,0.080878058,0.273279451,0,15,10,2,
0,['ReLu'],0.11734354,0.074708433,0.273328435,0,15,10,2,
0,"['ReLu', 'ReLu']",0.11734354,0.074708433,0.273328435,0,15,10,2,
0,['noChange'],0.624416994,0.624628708,0.64256674,0,15,10,2,
0,"['noChange', 'noChange']",0.625389,0.637181698,0.645456772,0,15,10,2,
0,"['LeakyReLU', 'Sigmoid']",0.361922156,0.401244772,0.431643399,0,15,10,2,
0,"['LeakyReLU', 'Cos']",0.038310275,0.026333019,0.127063434,0,15,10,2,
0,"['Sigmoid', 'Cos']",0.11734354,0.074708433,0.273328435,0,15,10,2,
0,"['ReLu', 'Sigmoid']",0.117348057,0.074712096,0.273328435,0,15,10,2,
0,"['ReLu', 'Cos']",0.117454523,0.083389532,0.273377419,0,15,10,2,
0,"['ReLu', 'LeakyReLU']",0.320735086,0.320537752,0.417634093,0,15,10,2,
0,"['noChange', 'Sigmoid']",0.620600842,0.629698922,0.63806025,0,15,10,2,
0,"['noChange', 'Cos']",0.045326578,0.043487034,0.143325986,0,15,10,2,
0,"['noChange', 'LeakyReLU']",0.579560518,0.592057729,0.591721773,0,15,10,2,
0,"['noChange', 'ReLu']",0.607847015,0.623896926,0.618466814,0,15,10,2,
,Name,F1,Precision,Recall,BatchNorm,Count,LayerSize,NumLayers,
0,Blank,0,0,0,0,,,,
0,['LeakyReLU'],0.533221816,0.483787105,0.619544453,0,15,10,2,
0,"['LeakyReLU', 'LeakyReLU']",0.538700846,0.520176421,0.615919667,0,15,10,2,
0,['Sigmoid'],0.103595992,0.065004392,0.254959589,0,15,10,2,
0,"['Sigmoid', 'Sigmoid']",0.103595992,0.065004392,0.254959589,0,15,10,2,
0,['Cos'],0.10370021,0.067177666,0.254959589,0,15,10,2,
0,"['Cos', 'Cos']",0.103889486,0.073671702,0.254959589,0,15,10,2,
0,['ReLu'],0.103595992,0.065004392,0.254959589,0,15,10,2,
0,"['ReLu', 'ReLu']",0.103595992,0.065004392,0.254959589,0,15,10,2,
0,['noChange'],0.750222678,0.751312323,0.750820475,0,15,10,2,
0,"['noChange', 'noChange']",0.769327393,0.771389225,0.770217977,0,15,10,2,
0,"['LeakyReLU', 'Sigmoid']",0.508553311,0.474516146,0.600293902,0,15,10,2,
0,"['LeakyReLU', 'Cos']",0.231556229,0.226160541,0.335341661,0,15,10,2,
0,"['Sigmoid', 'Cos']",0.103595992,0.065004392,0.254959589,0,15,10,2,
0,"['ReLu', 'Sigmoid']",0.103595992,0.065004392,0.254959589,0,15,10,2,
0,"['ReLu', 'Cos']",0.103595992,0.065004392,0.254959589,0,15,10,2,
0,"['ReLu', 'LeakyReLU']",0.516670449,0.486649847,0.605535146,0,15,10,2,
0,"['noChange', 'Sigmoid']",0.74991739,0.755983798,0.751310311,0,15,10,2,
0,"['noChange', 'Cos']",0.0605315,0.045635179,0.159294636,0,15,10,2,
0,"['noChange', 'LeakyReLU']",0.572955578,0.580442914,0.572961058,0,15,10,2,
0,"['noChange', 'ReLu']",0.451737307,0.473433041,0.470977223,0,15,10,2,
,Name,F1,Precision,Recall,BatchNorm,Count,LayerSize,NumLayers,Conv
0,Blank,0,0,0,0,,,,
0,['LeakyReLU'],0.939688636,0.939702222,0.939799167,1,15,10,2,FALSE
0,"['LeakyReLU', 'LeakyReLU']",0.93891561,0.938939181,0.93901543,1,15,10,2,FALSE
0,['Sigmoid'],0.939609179,0.939759246,0.939799167,1,15,10,2,FALSE
0,"['Sigmoid', 'Sigmoid']",0.938936933,0.938929082,0.939064413,1,15,10,2,FALSE
0,['Cos'],0.940815672,0.941053734,0.941023757,1,15,10,2,FALSE
0,"['Cos', 'Cos']",0.937900399,0.937888236,0.938035758,1,15,10,2,FALSE
0,['ReLu'],0.93895665,0.938984744,0.939064413,1,15,10,2,FALSE
0,"['ReLu', 'ReLu']",0.941276259,0.941322425,0.941415626,1,15,10,2,FALSE
0,['noChange'],0.928607318,0.928765988,0.928630909,1,15,10,2,FALSE
0,"['noChange', 'noChange']",0.929144487,0.929404622,0.929218712,1,15,10,2,FALSE
0,"['LeakyReLU', 'Sigmoid']",0.940887753,0.940876821,0.940974773,1,15,10,2,FALSE
0,"['LeakyReLU', 'Cos']",0.941673446,0.941669145,0.941758511,1,15,10,2,FALSE
0,"['Sigmoid', 'Cos']",0.940640838,0.940708118,0.940827823,1,15,10,2,FALSE
0,"['ReLu', 'Sigmoid']",0.938724252,0.938792624,0.938770512,1,15,10,2,FALSE
0,"['ReLu', 'Cos']",0.940013735,0.940096961,0.940044085,1,15,10,2,FALSE
0,"['ReLu', 'LeakyReLU']",0.939949942,0.939926827,0.940044085,1,15,10,2,FALSE
0,"['noChange', 'Sigmoid']",0.940890998,0.940875778,0.940974773,1,15,10,2,FALSE
0,"['noChange', 'Cos']",0.939188512,0.939302387,0.939260348,1,15,10,2,FALSE
0,"['noChange', 'LeakyReLU']",0.938166525,0.938192851,0.938280676,1,15,10,2,FALSE
0,"['noChange', 'ReLu']",0.941334995,0.941337419,0.941415626,1,15,10,2,FALSE
,Name,F1,Precision,Recall,BatchNorm,Count,LayerSize,NumLayers,Conv
0,Blank,0,0,0,0,,,,
0,['LeakyReLU'],0.51838792,0.46931387572764577,0.61009062,0,15,10,2,FALSE
0,"['LeakyReLU', 'LeakyReLU']",0.5167100936626463,0.5107452608744151,0.5880969875091845,0,15,10,2,FALSE
0,['Sigmoid'],0.1041329796998988,0.065379597,0.2556943423952976,0,15,10,2,FALSE
0,"['Sigmoid', 'Sigmoid']",0.1041329796998988,0.065379597,0.2556943423952976,0,15,10,2,FALSE
0,['Cos'],0.1041329796998988,0.065379597,0.2556943423952976,0,15,10,2,FALSE
0,"['Cos', 'Cos']",0.10422585964542061,0.068057901,0.25564535880480044,0,15,10,2,FALSE
0,['ReLu'],0.1041329796998988,0.065379597,0.2556943423952976,0,15,10,2,FALSE
0,"['ReLu', 'ReLu']",0.1041329796998988,0.065379597,0.2556943423952976,0,15,10,2,FALSE
0,['noChange'],0.7700478339311989,0.771360176,0.772226304,0,15,10,2,FALSE
0,"['noChange', 'noChange']",0.7757435376786597,0.7767056969604235,0.7771736468283127,0,15,10,2,FALSE
0,"['LeakyReLU', 'Sigmoid']",0.5027491190876353,0.46226373533026177,0.5999020328190056,0,15,10,2,FALSE
0,"['LeakyReLU', 'Cos']",0.2603521376259949,0.2549464480043332,0.33916238060249815,0,15,10,2,FALSE
0,"['Sigmoid', 'Cos']",0.10478112135466891,0.081053256,0.25579230957629195,0,15,10,2,FALSE
0,"['ReLu', 'Sigmoid']",0.1041329796998988,0.065379597,0.2556943423952976,0,15,10,2,FALSE
0,"['ReLu', 'Cos']",0.10413704421901278,0.065382802,0.2556943423952976,0,15,10,2,FALSE
0,"['ReLu', 'LeakyReLU']",0.5104143200230825,0.4636871120343562,0.603232917,0,15,10,2,FALSE
0,"['noChange', 'Sigmoid']",0.742071786,0.7487731441284348,0.7486162135684545,0,15,10,2,FALSE
0,"['noChange', 'Cos']",0.079135272,0.085862833,0.1731569924075435,0,15,10,2,FALSE
0,"['noChange', 'LeakyReLU']",0.4962056743510995,0.4997638445775616,0.5178545187362233,0,15,10,2,FALSE
0,"['noChange', 'ReLu']",0.5999467521314423,0.606725957,0.6099926524614254,0,15,10,2,FALSE
,Name,F1,Precision,Recall,BatchNorm,Count,LayerSize,NumLayers,Conv
0,Blank,0,0,0,0,,,,
0,['LeakyReLU'],0.938030844,0.938165949,0.938053333,0,15,10,2,FALSE
0,"['LeakyReLU', 'LeakyReLU']",0.926593463,0.926658249,0.92674,0,15,10,2,FALSE
0,['Sigmoid'],0.918768151,0.919415204,0.918766667,0,15,10,2,FALSE
0,"['Sigmoid', 'Sigmoid']",0.866475533,0.871818409,0.872513333,0,15,10,2,FALSE
0,['Cos'],0.070104202,0.089956456,0.111566667,0,15,10,2,FALSE
0,"['Cos', 'Cos']",0.078761871,0.100488393,0.10462,0,15,10,2,FALSE
0,['ReLu'],0.769994929,0.771015883,0.782373333,0,15,10,2,FALSE
0,"['ReLu', 'ReLu']",0.307070834,0.301201653,0.36904,0,15,10,2,FALSE
0,['noChange'],0.922560268,0.922829767,0.922526667,0,15,10,2,FALSE
0,"['noChange', 'noChange']",0.908720055,0.909739471,0.909153333,0,15,10,2,FALSE
0,"['LeakyReLU', 'Sigmoid']",0.939134561,0.939226153,0.93918,0,15,10,2,FALSE
0,"['LeakyReLU', 'Cos']",0.91027567,0.9109114,0.910386667,0,15,10,2,FALSE
0,"['Sigmoid', 'Cos']",0.916698027,0.917181548,0.91674,0,15,10,2,FALSE
0,"['ReLu', 'Sigmoid']",0.889447316,0.889975739,0.889526667,0,15,10,2,FALSE
0,"['ReLu', 'Cos']",0.472369796,0.502984331,0.496386667,0,15,10,2,FALSE
